filter_mode,confidence_threshold,directional_margin,under_confirm_ceiling,over_confirm_floor,max_discrepancy,bets,coverage,accuracy,roi_185,roi_190,roi_200,profit_190,max_losing_streak,over_bets,under_bets,over_accuracy,under_accuracy,avg_confidence
legacy_discrepancy,0.6,0.05,0.45,0.55,0.2,1019,0.1398764584763212,0.6211972522080471,0.14921491658488714,0.18027477919528948,0.2423945044160942,183.7,7,42,977,0.7619047619047619,0.6151484135107472,0.6276539119284339
hybrid_both,0.58,0.06,0.44,0.56,0.16,676,0.09279341111873714,0.6198224852071006,0.1466715976331361,0.17766272189349108,0.23964497041420119,120.09999999999997,8,6,670,0.6666666666666666,0.6194029850746269,0.6191440246055135
hybrid_both,0.62,0.04,0.46,0.54,0.22,568,0.07796842827728209,0.6197183098591549,0.14647887323943665,0.17746478873239432,0.23943661971830985,100.79999999999998,5,4,564,0.5,0.6205673758865248,0.6447293731038468
hybrid_both,0.6,0.04,0.46,0.54,0.18,794,0.1089910775566232,0.6196473551637279,0.1463476070528968,0.1773299748110831,0.23929471032745592,140.79999999999998,6,8,786,0.5,0.6208651399491094,0.6277307721766716
directional_consensus,0.7,0.06,0.44,0.56,,21,0.0028826355525051477,0.6190476190476191,0.14523809523809528,0.17619047619047615,0.23809523809523808,3.6999999999999993,3,0,21,,0.6190476190476191,0.7216936415018044
legacy_discrepancy,0.62,0.05,0.45,0.55,0.2,556,0.07632120796156486,0.6187050359712231,0.1446043165467626,0.17553956834532372,0.23741007194244604,97.6,5,11,545,0.6363636363636364,0.618348623853211,0.6427865937467675
hybrid_both,0.62,0.06,0.44,0.56,0.22,408,0.056005490734385724,0.6176470588235294,0.14264705882352943,0.17352941176470585,0.23529411764705882,70.79999999999998,5,2,406,0.5,0.6182266009852216,0.6459066684692644
legacy_discrepancy,0.58,0.05,0.45,0.55,0.16,1263,0.17336993822923816,0.6175771971496437,0.1425178147268409,0.173396674584323,0.23515439429928742,218.99999999999994,10,53,1210,0.7358490566037735,0.6123966942148761,0.6112360132657675
legacy_discrepancy,0.58,0.05,0.45,0.55,0.26,1901,0.2609471516815374,0.6175697001578117,0.14250394529195162,0.17338243029984218,0.23513940031562336,329.59999999999997,9,188,1713,0.723404255319149,0.6059544658493871,0.6169443764109162
hybrid_both,0.6,0.05,0.45,0.55,0.16,617,0.0846945778997941,0.6175040518638574,0.14238249594813618,0.17325769854132897,0.23500810372771475,106.89999999999998,6,4,613,0.5,0.6182707993474714,0.6266320675651083
directional_consensus,0.6,0.06,0.44,0.56,,648,0.08894989704873027,0.6172839506172839,0.14197530864197536,0.17283950617283947,0.2345679012345679,111.99999999999997,6,4,644,0.5,0.6180124223602484,0.6362085080348526
directional_consensus,0.6,0.04,0.46,0.54,,1011,0.1387783115991764,0.6172106824925816,0.141839762611276,0.17270029673590503,0.2344213649851632,174.6,7,9,1002,0.5555555555555556,0.6177644710578842,0.6343142751283782
legacy_discrepancy,0.58,0.05,0.45,0.55,0.18,1426,0.19574468085106383,0.6171107994389902,0.1416549789621319,0.17251051893408131,0.23422159887798036,245.99999999999994,8,66,1360,0.7575757575757576,0.6102941176470589,0.6129776751342437
legacy_discrepancy,0.64,0.05,0.45,0.55,0.26,360,0.04941660947151681,0.6166666666666667,0.14083333333333337,0.1716666666666666,0.23333333333333334,61.79999999999998,6,14,346,0.6428571428571429,0.615606936416185,0.6635758379706631
legacy_discrepancy,0.7,0.05,0.45,0.55,0.26,26,0.0035689773507206588,0.6153846153846154,0.13846153846153852,0.16923076923076918,0.23076923076923078,4.399999999999999,3,1,25,0.0,0.64,0.7189490814484233
directional_consensus,0.64,0.03,0.47,0.53,,356,0.04886753603294441,0.6151685393258427,0.138061797752809,0.16882022471910108,0.2303370786516854,60.09999999999999,6,3,353,0.3333333333333333,0.6175637393767706,0.6651685217345231
directional_consensus,0.6,0.05,0.45,0.55,,849,0.11654083733699382,0.6148409893992933,0.1374558303886926,0.16819787985865722,0.22968197879858657,142.79999999999998,7,5,844,0.6,0.6149289099526066,0.6356204334794708
hybrid_both,0.58,0.06,0.44,0.56,0.18,721,0.09897048730267673,0.6144244105409153,0.13668515950069351,0.16740638002773922,0.2288488210818308,120.69999999999997,6,6,715,0.6666666666666666,0.6139860139860139,0.6214862786310986
hybrid_both,0.62,0.05,0.45,0.55,0.22,502,0.06890871654083734,0.6135458167330677,0.13505976095617533,0.16573705179282866,0.22709163346613545,83.19999999999999,5,2,500,0.5,0.614,0.6454546775455356
hybrid_both,0.6,0.06,0.44,0.56,0.22,618,0.0848318462594372,0.6132686084142395,0.1345469255663431,0.16521035598705497,0.22653721682847897,102.09999999999997,6,4,614,0.5,0.6140065146579805,0.633813568765847
